Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Dasch240Xl.PrjPcb|ReportField=ProjectFullPath~C:\Users\aXe\Dropbox\Elektronik\aXe_Dashboard240XL\Dasch240Xl\Dasch240Xl.PrjPcb|ReportField=Title~Bill of Materials For Project [Dasch240Xl.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~184|ReportField=ReportTime~18:42:28|ReportField=ReportDate~20.03.2017|ReportField=ReportDateTime~20.03.2017 18:42:28|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~20.03.2017|ReportField=CurrentTime~18:42:17|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\aXe\Dropbox\Elektronik\aXe_Dashboard240XL\Dasch240Xl\Main.SchDoc|ReportField=DocumentName~Main.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~26.02.2017|ReportField=Organization~|ReportField=ProjectName~Dasch240Xl.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Dasch240Xl.PrjPcb|ReportField=DataSourceFullPath~C:\Users\aXe\Dropbox\Elektronik\aXe_Dashboard240XL\Dasch240Xl\Dasch240Xl.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|DF13-5P-1.25H(20)|Hirose DF13-5P-1.25H(20)|Analog, P_IN, RaceDAC|DF13-5P-1.25H(20)|Hirose DF13-5P-1.25H(20)|3
2|100nF|C 100nF 100V 0603 MLCC X7R|C1_WS1, C1_WS2, C2_WS1, C2_WS2, C3_WS1, C3_WS2, C4_WS1, C4_WS2, C5_WS1, C5_WS2, C6_WS1, C6_WS2, C7_WS1, C7_WS2, C8_WS1, C8_WS2, C9_WS1, C9_WS2, C10_WS1, C10_WS2, C11_WS1, C11_WS2, C12_WS1, C12_WS2, C13_WS1, C13_WS2, C14_WS1, C14_WS2, C15_WS1, C15_WS2, C16_WS1, C16_WS2, C17, C17_WS1, C17_WS2, C27, C31, C33, C34, C35, C36, C38, C46, C47, C48, C49, C50, C53, C55|C0603H08_M|C 100nF 100V 0603 MLCC X7R|49
3|220nF|C 220nF 50V 0805 MLCC  Y5V|C16, C52|C0805H085_L|C 220nF 50V 0805 MLCC  Y5V|2
4|1µF|C 1µF 6.3V 0603 MLCC X7R|C18|C0603H08_M|C 1µF 6.3V 0603 MLCC X7R|1
5|4.7µF|C 4.7µF 6.3V 0603 MLCC X5R|C19, C20, C21, C22, C28, C29, C30, C32|C0603H08_L|C 4.7µF 6.3V 0603 MLCC X5R|8
6|6pF|C 6pF 50V 0603 MLCC C0G/NP0|C23, C24|C0603H08_L|C 6pF 50V 0603 MLCC C0G/NP0|2
7|2.2µF|C 2.2µF 6.3V 0603 MLCC X7R|C25, C26, C37, C56, C58|C0603H08_M|C 2.2µF 6.3V 0603 MLCC X7R|5
8|TO BE DEFINED!||C39|C0805H06_M|_C 0805|1
9|10µF 16V Tantal||C40, C41|C1206H08_M|_C 1206|2
10|100µF|CPT 100µF 6.3V 1210 Tantal|C42, C43|C1210_TANTAL_M|CPT 100µF 6.3V 1210 Tantal|2
11|10µF|C 10µF 6.3V 0603 MLCC X5R|C44, C45|C0603H08_L|C 10µF 6.3V 0603 MLCC X5R|2
12|47µF|CPT 47µF 16V 1210 Tantal|C51|C1210_TANTAL_M|CPT 100µF 6.3V 1210 Tantal|1
13|22µF||C54|C1210H125_M|_C 1210|1
14|10nF||C57|C0603H08_M|_C 0603|1
